id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID12101,48,0,3,17546.0,1,1,1,1,1,1,0
ID12102,40,1,2,30085.1,0,3,0,1,0,0,1
ID12103,51,0,3,16575.4,0,0,0,0,0,1,1
ID12104,23,0,2,20375.4,0,3,1,1,0,1,1
ID12105,57,0,0,50576.3,0,0,1,0,1,1,1
ID12106,57,0,2,37869.6,0,2,1,0,0,1,0
ID12107,22,1,0,8877.07,1,0,1,1,0,1,0
ID12108,58,1,2,24946.6,0,0,0,0,0,1,1
ID12109,37,0,1,25304.3,0,2,0,1,1,1,1
ID12110,54,1,2,24212.1,0,2,0,0,0,1,1
ID12111,66,0,2,59803.9,0,0,1,0,0,1,1
ID12112,52,0,3,26658.8,1,0,0,0,0,0,1
ID12113,44,0,2,15735.8,0,1,1,0,0,0,0
ID12114,66,0,2,55204.7,0,1,0,0,0,0,0
ID12115,36,1,0,19474.6,0,0,1,0,0,0,1
ID12116,38,0,3,22342.1,0,0,0,0,0,0,1
ID12117,37,0,2,17729.8,0,2,1,1,1,0,1
ID12118,46,0,1,41016.0,0,0,1,0,1,0,1
ID12119,62,0,3,26909.2,0,0,1,0,1,1,0
ID12120,31,1,2,22522.8,0,0,0,0,0,1,1
ID12121,61,1,3,57880.7,0,2,1,0,1,1,0
ID12122,50,1,2,16497.3,0,2,1,0,0,1,1
ID12123,54,1,3,38446.6,0,0,1,0,0,1,1
ID12124,27,0,2,15538.8,1,0,0,0,0,0,1
ID12125,22,1,3,12640.3,1,2,0,0,0,1,1
ID12126,56,1,3,41034.0,0,0,0,0,0,0,1
ID12127,45,1,3,20809.7,0,0,1,0,0,0,1
ID12128,39,0,2,20114.0,0,1,1,1,0,1,0
ID12129,39,0,3,29359.1,1,3,0,1,0,0,1
ID12130,61,1,0,24270.1,0,1,1,1,0,1,0
ID12131,61,0,0,22942.9,0,2,1,0,0,1,1
ID12132,20,0,2,16325.8,0,2,1,0,1,1,1
ID12133,45,1,1,23443.2,0,1,0,0,0,1,0
ID12134,33,0,3,29921.3,1,3,0,0,1,1,1
ID12135,43,1,1,37521.9,1,0,1,0,0,1,0
ID12136,27,0,3,19868.0,0,2,1,0,0,1,1
ID12137,19,1,0,10953.0,0,3,0,0,0,1,1
ID12138,36,0,0,13381.0,1,0,0,1,0,1,0
ID12139,43,0,2,18504.3,0,0,0,0,0,1,1
ID12140,66,0,1,25391.5,1,2,1,1,0,1,1
ID12141,55,1,2,26774.2,0,0,1,1,0,0,0
ID12142,47,0,3,26952.6,0,0,0,1,0,1,1
ID12143,67,1,2,55716.5,1,2,0,0,1,1,0
ID12144,32,0,2,27571.5,0,0,0,1,0,0,1
ID12145,20,1,3,13740.0,1,2,0,0,0,0,1
ID12146,64,1,3,52670.6,0,2,1,0,0,0,0
ID12147,50,0,3,13283.9,1,1,0,0,0,1,0
ID12148,29,1,3,13106.6,1,2,1,0,0,0,0
ID12149,52,1,3,39547.8,1,2,0,1,0,1,0
ID12150,47,0,0,17867.3,0,2,0,0,1,1,1
ID12151,24,1,2,14309.7,1,2,0,0,1,1,1
ID12152,36,1,2,23894.8,0,0,1,1,1,1,1
ID12153,43,1,2,16259.7,0,1,1,0,0,1,0
ID12154,48,1,1,29794.1,1,1,1,0,0,1,0
ID12155,63,1,2,56842.5,0,0,1,0,0,0,1
ID12156,52,0,0,47835.8,1,3,1,0,1,1,0
ID12157,58,0,3,24977.5,1,0,1,1,0,1,0
ID12158,28,1,3,23124.9,0,0,1,0,0,1,0
ID12159,29,0,3,15143.8,0,0,1,1,0,1,1
ID12160,34,1,3,25334.3,1,1,0,0,0,0,0
ID12161,42,0,3,24763.3,0,1,1,0,0,0,0
ID12162,65,0,3,36589.0,1,1,0,1,0,1,0
ID12163,47,1,3,27022.6,0,2,1,0,0,1,1
ID12164,20,1,3,11700.4,0,0,1,0,1,1,1
ID12165,21,1,2,5014.21,1,0,0,0,0,0,1
ID12166,42,1,3,17390.1,0,0,1,0,0,1,1
ID12167,19,1,2,10861.0,1,2,1,0,0,1,1
ID12168,41,0,2,34892.9,1,0,1,0,0,0,1
ID12169,30,1,2,19403.1,1,2,1,0,0,1,1
ID12170,31,0,0,10441.9,0,2,1,1,0,1,0
ID12171,25,1,3,14064.9,0,3,0,0,0,1,1
ID12172,21,1,3,8062.73,1,0,1,1,0,1,0
ID12173,36,1,3,31982.0,0,3,0,0,0,0,0
ID12174,58,0,3,23197.5,0,2,1,0,1,0,1
ID12175,64,0,3,52674.0,1,2,0,0,0,1,0
ID12176,59,0,0,35610.5,1,2,0,1,1,1,0
ID12177,45,0,2,26948.0,1,0,1,0,0,0,1
ID12178,61,1,3,49456.7,0,1,0,0,0,0,0
ID12179,30,0,3,14724.5,0,0,0,1,0,1,1
ID12180,58,0,2,34524.9,0,2,0,0,1,1,0
ID12181,50,0,2,22052.1,1,3,1,0,0,1,0
ID12182,30,1,3,27808.1,1,3,1,1,0,1,1
ID12183,29,0,3,12591.4,0,1,1,0,0,1,1
ID12184,35,1,3,16394.4,0,1,1,0,0,1,0
ID12185,62,1,3,24026.1,0,0,1,1,0,0,0
ID12186,36,1,3,31683.1,0,1,0,0,0,1,0
ID12187,25,0,3,15525.0,0,0,1,0,0,1,1
ID12188,66,0,2,22562.2,1,0,0,0,0,0,1
ID12189,30,1,1,15848.7,0,0,0,0,1,0,1
ID12190,54,0,3,31095.6,0,2,1,1,0,1,0
ID12191,37,1,2,24814.5,0,1,0,1,0,0,0
ID12192,28,0,3,25429.3,1,2,1,0,0,0,1
